brand,breadcrumbs,colour,description,image_url,price,product_id,product_name,reviews,sizes,sku
,,,,//carbon38.com/cdn/shop/files/CARB-YD6039-BLK-23HOL-Longsleeve-Printed-Base-Layer-color-buffalo-plaid_3312.jpg?v=1698445172&width=1000,,,Long Sleeve Printed Base Layer,,,
,,,,//carbon38.com/cdn/shop/products/CARB-YD693-GRN-23SS-RUN-TOP-in-melt-color-ACID-LIME_2.jpg?v=1679937192&width=1000,,,Run Top in Melt,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD6009-IVRY-23SM-Tennis-Tank-color-Ivory_2100.jpg?v=1683230291&width=1000,,,Tennis Tank,,,
,,,,//carbon38.com/cdn/shop/files/BOGN-84588499-BLKBLK-CABANE-color-BLACK_7060.jpg?v=1696030984&width=1000,,,Cabane Knit Sweater Jacket,,,
,,,,//carbon38.com/cdn/shop/products/CARB-W158-WHIWHI-ribbed-cami-bra-Color-WHITE_0788.jpg?v=1675467202&width=1000,,,Ribbed Cami Bra,,,
,,,,//carbon38.com/cdn/shop/products/CARB-YD6005B-IVRY-23SS-STRIPED-CROPPED-SWEATER-VEST-color-IVORY-W-NAVY_9082.jpg?v=1674519356&width=1000,,,STRIPED CROPPED SWEATER VEST,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD6020-BLK-23FAL-Mesh-Off-Shoulder-Top-color-Black_41324.jpg?v=1697578987&width=1000,,,Mesh Off Shoulder Top,,,
,,,,//carbon38.com/cdn/shop/files/WTSKN-1201-BLKBLK-Ryann-Bodysuit-color-Black_00529-Edit.jpg?v=1709237866&width=1000,,,Ryann Bodysuit,,,
,,,,//carbon38.com/cdn/shop/products/CARB-CRB22060-OLVE-23SS-EMBROIDERED-FRENCH-TERRY-CREW-SWEATSHIRT-color-OLIVE-SEAHORSE_19414.jpg?v=1674696146&width=1000,,,EMBROIDERED FRENCH TERRY CREW SWEATSHIRT,,,
,,,,//carbon38.com/cdn/shop/products/CARB-YD614SP-WHT-22HOL-RHINESTONE-OVERSIZED-BUTTON-UP-SHIRT-color-White-w-Silver-Rhinestones1.jpg?v=1670614902&width=1000,,,RHINESTONE OVERSIZED BUTTON UP SHIRT,,,
,,,,//carbon38.com/cdn/shop/products/CARB-W158-BLKBLK-ribbed-cami-bra-Color-BLACK_4306.jpg?v=1677716790&width=1000,,,Ribbed Cami Bra,,,
